title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;http://winther.codes;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;http://winther.codes;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;http://winther.codes;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;http://winther.codes;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;http://winther.codes;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;http://winther.codes;6.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;http://winther.codes;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;http://winther.codes;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;http://winther.codes;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;http://winther.codes;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;http://winther.codes;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;http://winther.codes;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;http://winther.codes;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;http://winther.codes;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;http://winther.codes;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;http://winther.codes;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;http://winther.codes;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;http://winther.codes;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;http://winther.codes;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;http://winther.codes;20.png